Date,Period,Volume,total,price
15/04/2014,Day-ahead Baseload,5,120,40.5
3/04/2014,Day-ahead Baseload,10,240,33
27/02/2015,Sunday Baseload,10,240,14
11/10/2013,Day-ahead Baseload,65,1560,48.75
10/08/2016,Day-ahead Baseload,10,240,29.6
8/01/2015,Week 3 '15 Baseload,5,840,31.75
15/10/2013,Weekend Baseload,5,240,27.75
14/10/2015,November '15 Baseload,5,3600,36.1
8/07/2015,Day-ahead Baseload,10,240,39
23/12/2014,Day-ahead Baseload,5,120,10.5
10/02/2015,Year 2016 Baseload,10,87840,35
25/08/2015,October '15 Baseload,25,18625,33.95
18/07/2014,Day-ahead Baseload,10,240,34.75
11/10/2013,Week 42 '13 Baseload,10,1680,43.5
29/10/2015,November '15 Baseload,10,7200,38.5
29/04/2016,May '16 Baseload,40,29760,27.75
16/09/2014,October '14 Baseload,5,3725,35.15
15/01/2016,Year 2017 Baseload,5,43800,27
14/03/2014,Year 2015 Baseload,5,43800,35.05
14/01/2015,Day-ahead Peaks,5,60,35
4/05/2016,Weekend Baseload,20,960,19.75
23/03/2016,April '16 Baseload,5,3600,25.85
1/04/2014,Day-ahead Baseload,10,240,40
20/10/2015,Week 44 '15 Baseload,20,3360,36
23/10/2014,November '14 Baseload,10,7200,34.9
28/09/2015,Day-ahead Baseload,25,600,36.5
17/12/2013,Day-ahead Baseload,10,240,49.25
21/10/2015,Day-ahead Baseload,5,120,35.75
8/08/2013,Week 33 '13 Baseload,5,840,36
6/11/2013,December '13 Baseload,5,3720,38
27/06/2016,Q3 '16 Baseload,10,22080,32
16/10/2014,November '14 Baseload,25,18000,35
16/12/2013,Day-ahead Baseload,10,240,53.25
17/01/2014,Saturday Baseload,10,240,31.1
25/09/2015,Day-ahead Baseload,5,120,38
22/10/2013,Weekend Baseload,10,490,21
6/02/2015,Year 2017 Baseload,5,43800,34
18/05/2015,June '15 Baseload,50,36000,30.8
8/04/2015,Q3 '15 Baseload,10,22080,33.85
4/07/2014,August '14 Baseload,25,18600,34
25/11/2015,Weekend Baseload,25,1200,23.5
23/05/2016,Day-ahead Baseload,10,240,30.75
29/06/2015,Week 28 '15 Baseload,10,1680,36.75
15/08/2014,Week 34 '14 Peaks,5,300,37.25
17/12/2014,Friday Baseload,25,600,37
14/10/2015,Day-ahead Baseload,10,240,48.75
29/10/2015,November '15 Baseload,5,3600,38.5
1/08/2014,Week 32 '14 Baseload,10,1680,32
9/01/2015,February '15 Baseload,20,13440,36.95
3/02/2014,Day-ahead Peaks,5,60,53.1
28/10/2014,Day-ahead Baseload,10,240,41.25
20/02/2015,March '15 Baseload,10,7430,33.4
18/12/2013,Day-ahead Baseload,10,240,38.5
29/09/2014,October '14 Baseload,5,3725,35.75
29/10/2014,Weekend Baseload,25,1200,24.75
3/12/2013,Year 2015 Baseload,5,43800,36.3
10/11/2014,Day-ahead Baseload,10,240,37.25
28/11/2014,Weekend Baseload,10,480,32
26/01/2015,Week 6 '15 Baseload,10,1680,37.5
31/10/2013,November '13 Baseload,10,7200,40.8
20/05/2014,Day-ahead Baseload,10,240,38.4
11/12/2015,Saturday Baseload,15,360,30
22/11/2013,Day-ahead Baseload,10,240,47
20/05/2015,Q3 '15 Baseload,5,11040,31
17/04/2014,Year 2015 Baseload,25,219000,35.2
28/04/2014,Day-ahead Baseload,10,240,42.5
7/01/2015,Week 3 '15 Baseload,10,1680,32
14/05/2014,June '14 Baseload,15,10800,31.35
10/10/2013,Week 42 '13 Baseload,10,1680,45
8/09/2016,Q4 '16 Baseload,25,55225,30.65
12/02/2016,Week 7 '16 Baseload,5,840,26.8
23/12/2014,25/12/2014 Baseload,20,480,14.5
16/10/2015,Weekend Baseload,10,480,36.5
17/03/2016,April '16 Baseload,42,30240,25.75
29/06/2015,Week 28 '15 Baseload,10,1680,36.4
11/11/2015,Year 2016 Baseload,5,43920,32.55
10/12/2014,Day-ahead Baseload,10,240,37.5
26/06/2014,Q3 '14 Baseload,25,55200,35.25
12/12/2014,Weekend Baseload,15,720,33.5
23/04/2014,Week 18 '14 Baseload,15,2520,31.5
1/08/2014,Weekend Baseload,20,960,25
3/02/2015,Year 2017 Baseload,10,87600,33.4
7/10/2015,Day-ahead Baseload,10,240,48.5
10/04/2015,Day-ahead Baseload,5,120,31.5
30/09/2015,Week 41 '15 Baseload,10,1680,40
15/10/2015,December '15 Baseload,10,7440,32.1
14/08/2014,Week 34 '14 Baseload,5,840,28.75
7/01/2015,Weekend Baseload,10,480,14
6/01/2015,Weekend Baseload,25,1200,10
30/06/2014,Day-ahead Baseload,5,120,36.8
24/11/2015,Day-ahead Baseload,10,240,45
12/09/2013,Day-ahead Baseload,5,120,47.6
27/11/2015,December '15 Baseload,20,14880,32.5
18/04/2016,Day-ahead Baseload,15,360,24
24/02/2016,March '16 Baseload,10,7430,23.5
31/01/2014,Saturday Baseload,10,240,28
18/10/2013,November '13 Baseload,15,10800,41.85
10/11/2014,Day-ahead Baseload,10,240,35.25
3/11/2015,Day-ahead Baseload,5,120,40.75
17/03/2016,April '16 Baseload,75,54000,25.75
30/04/2014,Friday Baseload,10,240,30.75
29/01/2014,Week 6 '14 Baseload,3,504,36.5
18/06/2014,Week 26 '14 Baseload,15,2520,34.5
25/06/2015,Day-ahead Baseload,5,120,36.6
10/04/2014,Day-ahead Baseload,10,240,39.25
