Date,Period,Volume,total,price
5/09/2013,October '13 Baseload,5,3725,39.5
15/09/2014,Year 2015 Baseload,5,43800,35.6
9/04/2015,Day-ahead Baseload,25,600,37.5
15/01/2015,Weekend Baseload,5,240,31.5
18/08/2015,September '15 Baseload,10,7200,34.35
13/09/2016,Day-ahead Baseload,10,240,38
8/01/2015,Week 3 '15 Baseload,20,3360,31.75
30/01/2014,Week 6 '14 Baseload,12,2016,35.75
26/03/2014,Q2 '14 Baseload,10,21840,30.55
23/10/2015,Year 2016 Baseload,5,43920,32.25
11/06/2014,Week 25 '14 Baseload,5,840,34
10/02/2015,Year 2017 Baseload,5,43800,34.2
7/04/2015,Day-ahead Baseload,15,360,39.5
13/11/2015,Week 47 '15 Baseload,5,840,37
10/10/2013,Weekend Baseload,55,2640,32
27/12/2013,Day-ahead Baseload,10,240,27.5
29/09/2015,Year 2016 Baseload,15,131760,32.6
7/10/2013,November '13 Baseload,10,7200,44
6/07/2015,August '15 Baseload,5,3720,31.1
5/01/2015,Weekend Baseload,10,480,10.5
22/07/2015,Day-ahead Baseload,20,480,50
8/08/2013,Day-ahead Baseload,10,240,51.5
20/08/2013,Day-ahead Baseload,10,240,43
24/03/2016,Weekend Baseload,10,470,15.5
17/12/2013,Week 52 '13 Baseload,40,6720,14.75
7/08/2013,Day-ahead Peaks,10,120,60
17/04/2014,18/04/2014 Baseload,10,240,31
31/07/2015,Day-ahead Baseload,10,240,35.5
4/08/2014,Day-ahead Baseload,10,240,33.5
10/07/2015,Week 29 '15 Baseload,5,840,35
8/01/2015,Day-ahead Baseload,25,600,34.25
19/08/2014,Week 35 '14 Baseload,10,1680,31.75
8/10/2013,Day-ahead Baseload,5,120,50
17/03/2016,April '16 Baseload,10,7200,25.75
13/10/2015,Day-ahead Baseload,15,360,49.5
17/10/2013,Day-ahead Baseload,5,120,42
23/01/2014,Day-ahead Peaks,5,60,59
14/01/2014,February '14 Baseload,5,3360,40.5
7/04/2014,May '14 Baseload,10,7440,30.95
